025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:12:29,063 - Batch 500-550 processed in 1.24 seconds | Locations found: 3 | Total locations: 33
2025-02-20 21:12:30,543 - Batch 550-600 processed in 1.48 seconds | Locations found: 2 | Total locations: 35
2025-02-20 21:12:31,627 - Batch 600-650 processed in 1.08 seconds | Locations found: 7 | Total locations: 42
2025-02-20 21:12:33,566 - Batch 650-700 processed in 1.94 seconds | Locations found: 0 | Total locations: 42
2025-02-20 21:12:34,864 - Batch 700-750 processed in 1.30 seconds | Locations found: 2 | Total locations: 44
2025-02-20 21:12:36,361 - Batch 750-800 processed in 1.50 seconds | Locations found: 3 | Total locations: 47
2025-02-20 21:12:37,560 - Batch 800-850 processed in 1.20 seconds | Locations found: 3 | Total locations: 50
2025-02-20 21:12:38,539 - Batch 850-900 processed in 0.98 seconds | Locations found: 7 | Total locations: 57
2025-02-20 21:12:40,279 - Batch 900-950 processed in 1.74 seconds | Locations found: 9 | Total locations: 66
2025-02-20 21:12:41,942 - Batch 950-1000 processed in 1.66 seconds | Locations found: 6 | Total locations: 72
2025-02-20 21:12:44,544 - Batch 1000-1050 processed in 2.60 seconds | Locations found: 4 | Total locations: 76
2025-02-20 21:12:45,979 - Batch 1050-1100 processed in 1.43 seconds | Locations found: 4 | Total locations: 80
2025-02-20 21:12:47,848 - Batch 1100-1150 processed in 1.87 seconds | Locations found: 4 | Total locations: 84
2025-02-20 21:12:49,561 - Batch 1150-1200 processed in 1.71 seconds | Locations found: 2 | Total locations: 86
2025-02-20 21:12:50,576 - Batch 1200-1250 processed in 1.02 seconds | Locations found: 1 | Total locations: 87
2025-02-20 21:12:51,669 - Batch 1250-1300 processed in 1.09 seconds | Locations found: 0 | Total locations: 87
2025-02-20 21:12:53,004 - Batch 1300-1350 processed in 1.33 seconds | Locations found: 4 | Total locations: 91
2025-02-20 21:12:54,233 - Batch 1350-1400 processed in 1.23 seconds | Locations found: 1 | Total locations: 92
2025-02-20 21:12:55,941 - Batch 1400-1450 processed in 1.71 seconds | Locations found: 6 | Total locations: 98
2025-02-20 21:12:57,513 - Batch 1450-1500 processed in 1.57 seconds | Locations found: 3 | Total locations: 101
2025-02-20 21:12:58,376 - Batch 1500-1550 processed in 0.86 seconds | Locations found: 4 | Total locations: 105
2025-02-20 21:12:59,250 - Batch 1550-1600 processed in 0.87 seconds | Locations found: 1 | Total locations: 106
2025-02-20 21:13:00,191 - Batch 1600-1650 processed in 0.94 seconds | Locations found: 2 | Total locations: 108
2025-02-20 21:13:01,833 - Batch 1650-1700 processed in 1.64 seconds | Locations found: 1 | Total locations: 109
2025-02-20 21:13:03,585 - Batch 1700-1750 processed in 1.75 seconds | Locations found: 2 | Total locations: 111
2025-02-20 21:13:04,867 - Batch 1750-1800 processed in 1.28 seconds | Locations found: 2 | Total locations: 113
2025-02-20 21:13:05,879 - Batch 1800-1850 processed in 1.01 seconds | Locations found: 5 | Total locations: 118
2025-02-20 21:13:07,304 - Batch 1850-1900 processed in 1.42 seconds | Locations found: 1 | Total locations: 119
2025-02-20 21:13:08,518 - Batch 1900-1950 processed in 1.21 seconds | Locations found: 6 | Total locations: 125
2025-02-20 21:13:09,741 - Batch 1950-2000 processed in 1.22 seconds | Locations found: 6 | Total locations: 131
2025-02-20 21:13:10,741 - Batch 2000-2050 processed in 1.00 seconds | Locations found: 2 | Total locations: 133
2025-02-20 21:13:12,080 - Batch 2050-2100 processed in 1.34 seconds | Locations found: 7 | Total locations: 140
2025-02-20 21:13:13,178 - Batch 2100-2150 processed in 1.10 seconds | Locations found: 5 | Total locations: 145
2025-02-20 21:13:14,797 - Batch 2150-2200 processed in 1.62 seconds | Locations found: 3 | Total locations: 148
2025-02-20 21:13:16,042 - Batch 2200-2250 processed in 1.24 seconds | Locations found: 2 | Total locations: 150
2025-02-20 21:13:17,018 - Batch 2250-2300 processed in 0.98 seconds | Locations found: 1 | Total locations: 151
2025-02-20 21:13:17,911 - Batch 2300-2350 processed in 0.89 seconds | Locations found: 6 | Total locations: 157
2025-02-20 21:13:19,498 - Batch 2350-2400 processed in 1.59 seconds | Locations found: 6 | Total locations: 163
2025-02-20 21:13:21,306 - Batch 2400-2450 processed in 1.81 seconds | Locations found: 0 | Total locations: 163
2025-02-20 21:13:22,242 - Batch 2450-2500 processed in 0.94 seconds | Locations found: 3 | Total locations: 166
2025-02-20 21:13:23,438 - Batch 2500-2550 processed in 1.20 seconds | Locations found: 6 | Total locations: 172
2025-02-20 21:13:24,621 - Batch 2550-2600 processed in 1.18 seconds | Locations found: 6 | Total locations: 178
